ID,Year of Birth,Age,Gender,Employment Duration,Industry,Occupation,Size of Employer Company,Size of Household,Residency Area,Time Spent Working Remotely Last Quarter of Last Year,Preferred Time Spent Working Remotely Last Quarter of Last Year,Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in Future,Employer's Policy change on Remote Work,1 day Hybrid last 6 months,Duration of Hybrid,Preferences towards Hybrid,Employer's Policy on Hybrid,Employer's Time Preference on Onsite,Attitude on Employer's Preferences,Liberty to make the Choice on Decision,Liberty to make the Choice on Days,Direct Manager's role,Attitude on Employer's Decision on Remote Work,Attitude on Employer's Encouragement,Attitude on Employer's Preparedness,Attitude of Other Employees ,Ease to get Permission on Remote Work,Ease to Collaborate with Colleagues,Effect of Promotion,Attitude on Taking Breaks,Impact on Employer,Most Supportive Person(s) on Remote Work,Expected Employer's Encouragement Post Covid,Expected Employer's Support Post Covid,Attitude on Choice on Remote Post Covid,Intended Time to Commute Onsite,Intended Time for Work Onsite,Intended Time for Chores Onsite,Intended Time for Personal Life Onsite,Intended Time for Sleep Onsite,Intended Time to Commute Remote,Intended Time for Work Remote,Intended Time for Chores Remote,Intended Time for Personal Life Remote,Intended Time for Sleep Remote,Attitude on pay cut,Agreed percentage on Pay cut,Barrier of Caring Responsibilities,Barrier of Connectivity,Barrier from Organizations Software System,Barrier on Collaboration,Barrier of poor management,Barrier of IT Equipment,Barrier of Feeling Isolated,Barrier of Extra Cost,Barrier of Cyber Security,Barrier of task cannot be done remotely,Barrier about working Space,Barrier on Motivation,Barrier on Management encouragement on Remote,Barrier of my living situation,Barrier of Remote Working Skills,Barrier of Health and Safety,Positivity on Remote Work,Activeness on Remote Work,Attitute towards Team Members,Management role of Participant,Remote Employees under Manager ,Manager's discretion towards Remote ,Opinion on Remote Employee Retention,Opinion on Remote Employee Recruitment,Opinion on Remote Team Work,Opinion on monitoring Remote Team,Opinion on Remote Poor Performers,Opinion on Preparation for Remote Employee Management,Opinion on Preparation for Focus on Work,Opinion on Finding Employees,Manager's Productivity on Remote,Employee's Productivity on Remote
23,1976,45,Male,More than 5 years,Wholesale Trade,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Metro,30%,40%,50% - I spent about half of my time remote working,20%,50% - About half of my time,Yes,Yes,50% - About half of my time,50% - About half of my time,No,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat Negative,My direct manger(s),Neither unlikely or likely,Somewhat likely,Somewhat unlikely,2,8,3,3,8,0,8,5,3,8,Yes,0.1,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Yes,Yes,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
24,1961,60,Male,More than 5 years,Wholesale Trade,Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,90%,90%,90%,90%,90%,Yes,No,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither positive nor negative,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly Positive,My direct manger(s),Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,1,4,6,6,7,0,4,8,4,8,Yes,0.2,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Not a barrier for me,Somewhat improved,Somewhat improved,Significantly improved,Not a barrier for me,Not a barrier for me,Significantly improved,Significantly improved,Stayed about the same,Not a barrier for me,Not a barrier for me,Significantly improved,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
28,1989,32,Male,Between 1 and 5 years,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,Metro,20%,30%,20%,10%,10%,Yes,Yes,10%,20%,Yes,80%,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Senior leadership,Somewhat likely,Neither unlikely or likely,Somewhat likely,1,8,3,5,7,2,8,3,3,8,Yes,0.16,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat agree,Somewhat agree,Strongly agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
29,1975,46,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - Clerical and Office Support Workers,Between 5 and 19,Couple with no dependent children,Metro,30%,40%,30%,70%,80%,No,No,,,Unsure,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,They are about the same,Very likely,Very likely,Very likely,2,8,2,4,8,2,8,2,6,6,Yes,0.75,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Not a barrier for me,Significantly improved,Somewhat improved,Stayed about the same,Significantly improved,Significantly improved,Somewhat improved,Stayed about the same,Significantly improved,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
32,1979,42,Female,Between 1 and 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,Between 20 and 199,Couple with no dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Yes,No,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly Positive,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat Positive,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,2,8,1,4,9,1,8,1,6,8,No,,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Not a barrier for me,Stayed about the same,Somewhat worsened,Not a barrier for me,Stayed about the same,Not a barrier for me,Significantly worsened,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
33,1983,38,Female,Between 6 and 12 months,Construction,Professionals - Education Professionals,Between 5 and 19,Couple with dependent children,Metro,20%,40%,30%,20%,30%,No,Yes,50% - About half of my time,50% - About half of my time,Yes,30%,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,Senior leadership,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,2,8,4,2,8,2,8,3,3,8,Yes,0.2,Significantly worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Significantly worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Significantly worsened,Somewhat worsened,Somewhat worsened,Significantly worsened,Strongly agree,Somewhat agree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
35,1967,54,Male,More than 5 years,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",Between 1 and 4,Other one family household,Regional,20%,20%,20%,20%,20%,No,Yes,20%,20%,Yes,80%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,1.5,8,1,6.5,7,0.5,6,1,9.5,7,No,,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat disagree,Somewhat disagree,Somewhat agree,Yes,No,,,,,,,,,,I’m 20% less productive when working remotely,I’m 20% less productive when working remotely
36,1967,54,Male,More than 5 years,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Metro,Less than 10% of my time,10%,80%,50% - About half of my time,20%,Yes,No,,,Yes,90%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly Positive,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Positive,My direct manger(s),Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,1.5,8.5,2,4,8,0,8.5,2,5.5,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 10% less productive when working remotely,I’m 10% less productive when working remotely
38,1982,39,Male,More than 5 years,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with no dependent children,Metro,10%,50% - About half of my time,40%,60%,70%,Yes,Yes,50% - About half of my time,70%,Yes,30%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Positive,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly Positive,They are about the same,Very likely,Very likely,Very likely,2,7,4,3,8,2,7,3,4,8,No,,Somewhat improved,Somewhat improved,Somewhat improved,Significantly worsened,Significantly worsened,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat worsened,Somewhat worsened,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Strongly agree,Strongly agree,Somewhat disagree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
39,1979,42,Male,More than 5 years,"Agriculture, Forestry and Fishing","Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,Metro,Rarely or never,50% - About half of my time,Rarely or never,50% - About half of my time,50% - About half of my time,No,No,,,No,,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly Positive,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat Positive,They are about the same,Somewhat likely,Very likely,Somewhat likely,2.5,8.5,2,3.5,7.5,0,8.5,2.5,5,8,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Strongly agree,Strongly agree,Neither agree nor disagree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
40,1962,59,Female,Between 6 and 12 months,Retail Trade,"Professionals - Design, Engineering, Science and Transport Professionals",Between 1 and 4,Couple with dependent children,Metro,50% - I spent about half of my time remote working,90%,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,No,No,,,No,,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Positive,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Positive,Senior leadership,Somewhat likely,Very likely,Very likely,16,3,3,1,1,16,3,3,1,1,Yes,1,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Strongly agree,Strongly agree,Somewhat agree,Yes,Yes,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
